iter	Passed	Remaining
651	1757	937
652	1759	934
653	1760	931
654	1761	927
655	1762	924
656	1763	920
657	1766	918
658	1768	914
659	1769	911
660	1770	907
661	1771	904
662	1773	901
663	1774	898
664	1776	894
665	1777	891
666	1782	889
667	1783	886
668	1784	883
669	1786	879
670	1787	876
671	1788	872
672	1789	869
673	1791	866
674	1792	863
675	1794	860
676	1795	856
677	1796	853
678	1797	849
679	1798	846
680	1799	843
681	1800	839
682	1801	836
683	1803	833
684	1805	830
685	1806	827
686	1809	824
687	1810	821
688	1811	817
689	1812	814
690	1813	811
691	1814	807
692	1815	804
693	1816	801
694	1817	797
695	1818	794
696	1821	791
697	1823	788
698	1824	785
699	1825	782
700	1827	779
701	1828	776
702	1830	773
703	1831	770
704	1833	767
705	1839	766
706	1841	763
707	1843	760
708	1844	757
709	1846	754
710	1847	751
711	1851	748
712	1853	746
713	1855	743
714	1857	740
715	1858	737
716	1859	733
717	1860	730
718	1861	727
719	1862	724
720	1866	722
721	1868	719
722	1869	716
723	1871	713
724	1872	710
725	1873	707
726	1874	704
727	1875	700
728	1876	697
729	1877	694
730	1881	692
731	1882	689
732	1883	686
733	1884	683
734	1886	679
735	1887	676
736	1888	673
737	1889	670
738	1890	667
739	1891	664
740	1892	661
741	1895	659
742	1897	656
743	1898	653
744	1899	650
745	1900	647
746	1901	643
747	1902	640
748	1903	637
749	1904	634
750	1905	631
751	1906	628
752	1909	626
753	1910	623
754	1912	620
755	1913	617
756	1914	614
757	1915	611
758	1916	608
759	1917	605
760	1919	602
761	1920	599
762	1921	596
763	1922	593
764	1924	591
765	1926	588
766	1927	585
767	1928	582
768	1930	579
769	1931	576
770	1932	573
771	1933	570
772	1934	568
773	1935	565
774	1936	562
775	1939	559
776	1942	557
777	1943	554
778	1944	551
779	1945	548
780	1946	545
781	1947	542
782	1948	539
783	1949	537
784	1950	534
785	1951	531
786	1954	528
787	1957	526
788	1959	523
789	1961	521
790	1962	518
791	1963	515
792	1964	512
793	1965	510
794	1966	507
795	1970	504
796	1971	502
797	1972	499
798	1973	496
799	1974	493
800	1976	491
801	1977	488
802	1978	485
803	1979	482
804	1980	479
805	1981	476
806	1983	474
807	1985	471
808	1986	469
809	1988	466
810	1989	463
811	1990	460
812	1991	458
813	1992	455
814	1993	452
815	1994	449
816	1995	446
817	1996	444
818	1999	441
819	2001	439
820	2002	436
821	2003	433
822	2004	431
823	2005	428
824	2006	425
825	2007	422
826	2008	420
827	2009	417
828	2010	414
829	2013	412
830	2015	409
831	2016	407
832	2017	404
833	2018	401
834	2019	399
835	2020	396
836	2021	393
837	2022	391
838	2023	388
839	2024	385
840	2026	383
841	2028	380
842	2030	378
843	2031	375
844	2032	372
845	2033	370
846	2034	367
847	2035	364
848	2036	362
849	2037	359
850	2038	356
851	2039	354
852	2043	352
853	2045	349
854	2046	347
855	2049	344
856	2050	342
857	2051	339
858	2052	336
859	2053	334
860	2054	331
861	2056	329
862	2058	326
863	2060	324
864	2061	321
865	2062	319
866	2063	316
867	2064	313
868	2065	311
869	2066	308
870	2067	306
871	2068	303
872	2069	301
873	2073	298
874	2075	296
875	2076	293
876	2077	291
877	2078	288
878	2079	286
879	2080	283
880	2081	281
881	2082	278
882	2083	276
883	2084	273
884	2086	271
885	2088	268
886	2090	266
887	2091	263
888	2094	261
889	2095	258
890	2096	256
891	2097	253
892	2098	251
893	2101	249
894	2103	246
895	2104	244
896	2105	241
897	2106	239
898	2107	236
899	2108	234
900	2109	231
901	2110	229
902	2111	226
903	2113	224
904	2114	221
905	2118	219
906	2119	217
907	2120	214
908	2121	212
909	2122	209
910	2123	207
911	2124	205
912	2125	202
913	2126	200
914	2127	197
915	2130	195
916	2132	193
917	2134	190
918	2134	188
919	2138	185
920	2144	183
921	2149	181
922	2151	179
923	2152	177
924	2153	174
925	2154	172
926	2155	169
927	2158	167
928	2160	165
929	2161	162
930	2163	160
931	2164	157
932	2165	155
933	2166	153
934	2167	150
935	2168	148
936	2169	145
937	2170	143
938	2173	141
939	2174	138
940	2176	136
941	2177	134
942	2179	131
943	2180	129
944	2181	126
945	2183	124
946	2185	122
947	2189	120
948	2196	118
949	2206	116
950	2208	113
951	2210	111
952	2212	109
953	2213	106
954	2215	104
955	2222	102
956	2224	99
957	2225	97
958	2227	95
959	2228	92
960	2230	90
961	2236	88
962	2238	86
963	2248	83
964	2250	81
965	2252	79
966	2254	76
967	2256	74
968	2258	72
969	2261	69
970	2264	67
971	2265	65
972	2267	62
973	2269	60
974	2270	58
975	2272	55
976	2279	53
977	2280	51
978	2282	48
979	2283	46
980	2285	44
981	2287	41
982	2294	39
983	2297	37
984	2299	35
985	2301	32
986	2302	30
987	2303	27
988	2314	25
989	2323	23
990	2326	21
991	2330	18
992	2331	16
993	2333	14
994	2336	11
995	2338	9
996	2340	7
997	2342	4
998	2343	2
999	2345	0
